case_id,kind,verdict,reason,length_m,nvdb_id,road_reference,x,y,longitude,latitude,imagery_project,imagery_project_id,imagery_date,imagery_resolution_m,reviewer,imagery_source,notes
G01,unsupported_gap,uncertain,canopy_and_shadow,7.0,671258022,FV6650 S2D1 m842-856,269169.7089842959,7040843.2845768845,10.373132223826005,63.42103999128382,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,NVDB line falls beneath tree canopy and building shadow. Absence cannot be established from this aerial image.
C01,unregistered_candidate,false_positive,building_and_garden,51.86599367965202,,,269159.48921681714,7040994.502738035,10.372709629567758,63.42238609478621,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hull crosses building footprints and a garden/terrace strip; incompatible with a single vehicle guardrail.
C02,unregistered_candidate,uncertain,vegetated_railway_margin,104.37101967699343,,,268998.8907085344,7041432.362145787,10.368869595588578,63.42619891360693,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,"Long wooded strip beside railway; vegetation dominates, but a concealed fence or barrier cannot be excluded."
C03,unregistered_candidate,uncertain,railway_parking_boundary,52.27910904997263,,,268964.81637232075,7041536.065019912,10.368039087620444,63.427104495391106,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,"Narrow strip between railway and parking access. Fence, vegetation and barrier cannot be distinguished confidently."
C04,unregistered_candidate,uncertain,dense_vegetation,47.628627248218564,,,269031.88114536006,7041356.091896495,10.369638725813891,63.42553802120205,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hull follows dense tree cover beside the railway. No fixed guardrail can be resolved underneath.
C05,unregistered_candidate,uncertain,railway_hedge_boundary,40.63842399000784,,,268982.7362488881,7041490.7027243385,10.368462586692104,63.42671032542791,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Elongated vegetation/fence-like boundary beside railway; insufficient detail for vehicle-barrier identification.
C06,unregistered_candidate,false_positive,traffic_lane,11.402370580878019,,,269123.4854192679,7040660.954999068,10.372472839664134,63.419379034242105,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,"Hull lies inside a traffic lane, not on a fixed roadside boundary. Transient vehicle returns are a plausible explanation, not proven."
C07,unregistered_candidate,uncertain,hedge_or_building_boundary,16.84259333994686,,,269161.2895871665,7041087.6087029055,10.372611007247238,63.4232201386789,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hedge-like narrow strip adjoining building/access area; barrier type and concealment remain unresolved.
C08,unregistered_candidate,uncertain,vegetated_railway_margin,16.15618299792241,,,268974.16187916155,7041495.431889729,10.368284514487689,63.42674707237272,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hull lies in vegetation along railway; hidden barrier cannot be ruled out.
C09,unregistered_candidate,false_positive,building_footprint,13.803886273459058,,,269141.1878506876,7041166.059187658,10.372096219540566,63.42390889864221,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hull overlaps the roof/building footprint rather than a roadside guardrail.
C10,unregistered_candidate,uncertain,shaded_railway_slope,16.529114968639135,,,269210.12426145346,7041774.922753165,10.37259264816345,63.429400116471946,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Shaded vegetated strip between road and railway; insufficient visibility to identify a fixed barrier.
C11,unregistered_candidate,uncertain,garden_access_boundary,8.41549751540709,,,269245.55029883323,7041781.1621472705,10.373291154237458,63.4294788700952,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Narrow hedge/wall-like feature next to a building access road; insufficient evidence to identify a vehicle guardrail.
C12,unregistered_candidate,false_positive,building_facade,17.78056690091565,,,269250.87459250557,7041789.049860248,10.373386088801638,63.42955287684191,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,"Hull follows a roof/facade edge within a building footprint, not a roadside guardrail."
C13,unregistered_candidate,false_positive,traffic_lane,9.499282550952021,,,269127.9972980737,7040708.265144313,10.372494546775313,63.419805168164466,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hull lies in the carriageway. A fixed guardrail is incompatible with the visible lane layout; vehicle explanation remains an inference.
C14,unregistered_candidate,false_positive,traffic_lane,9.752698371916907,,,269136.1904883546,7040986.334334372,10.372256230849809,63.42229793737938,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hull lies in a traffic lane near a driveway; no fixed barrier is visible in that lane.
C15,unregistered_candidate,false_positive,traffic_lane,10.529762382156918,,,269136.9959389248,7041014.980568213,10.372230906381807,63.42255471332181,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hull lies in a traffic lane. Likely transient returns; the image and laser were acquired on different dates.
C16,unregistered_candidate,uncertain,vegetated_railway_margin,12.904065850646404,,,268967.6719974515,7041509.418123429,10.368134673837408,63.42686797861906,Trondheim kommune 2022,3999,2022-08-24 (project metadata),0.1,Codex first-pass visual screening; not independent ground truth,https://norgeibilder.no/,Hull follows vegetation next to railway; concealed infrastructure cannot be identified from this image.
